,title,TF_IDF
0,Notations.,4.483703433024897
1,En partie double. ,4.553646547888609
2,Litotes. ,4.434217065887375
3,Métaphoriquement.,4.4897173821301815
4,Rétrograde. ,4.500081108416991
5,Surprises.,4.4769479557012355
6,"Rêve. 
",4.532847123460137
7,Pronostication. ,4.536085449786238
8,Synchyses. ,4.510831366853815
9,L'arc-en-ciel,4.510761358824528
10,Logo-rallye.,4.543377027532649
11,Hésitations.,4.552427541805705
12,Précisions. ,4.566430604719616
13,Le côté subjectif.,4.525497428564718
14,Autre subjectivité. ,4.539099014551268
15,Récit. ,4.538095571965842
16,Composition de mots. ,4.446097943802253
17,Négativités. ,4.531787122833912
18,Animisme. ,4.556333278141769
19,Anagrammes.,4.5145619903176755
20,Distinguo,4.561916196306904
21,Homéotéleutes. ,4.48677733855185
22,Lettre officielle. ,4.566800953400017
23,Prière d'insérer. ,4.522562436084316
24,Onomatopées.,4.55044490010797
25,Analyse logique.,4.544988870802319
26,Insistance. ,4.584372631774045
27,Ignorance.,4.52935514752498
28,Passé indéfini. ,4.557839062823138
29,Présent,4.519576212413705
30,Passé simple.,4.512691758699714
31,Imparfait. ,4.510831391019764
32,Alexandrins. ,4.5426062056235095
33,Polyptotes. ,4.543453081278852
34,Aphérèses ,4.483696484961629
35,Apocopes,4.497692395616844
36,Syncopes,4.446052460434853
37,Moi je.,4.559224019952366
38,Exclamations. ,4.556855726996055
39,Alors. ,4.502498483860229
40,"Ampoulé. 
",4.572095455659417
41,"Vulgaire. 
",4.5525295282797575
42,Interrogatoire. ,4.562177568502996
43,Comédie.,4.5663558076930695
44,Apartés. ,4.547951020879555
45,Paréchèses. ,4.495202557026581
46,"Fantomatique. 
",4.573047916387087
47,Philosophique,4.550019722787982
48,Apostrophe. ,4.560954251029749
49,Maladroit. ,4.580651422708027
50,"Désinvolte. 
",4.548687439146179
51,Partial. ,4.57708611228453
52,Sonnet.,4.534016642477886
53,Olfactif,4.526825456869864
54,Gustatif.,4.546519161708236
55,Tactile. ,4.551317625870169
56,Visuel. ,4.5578336489405755
57,Auditif. ,4.552499564061827
58,Télégraphique ,4.48674348543704
59,Ode,4.5708736452424255
60,Permutations par groupes croissants de lettres,4.548742188232371
61,Permutations par groupes croissants de mots ,4.522642543429338
62,Hellénismes,4.50472476493653
63,Ensembliste ,4.550510198178354
64,Définitionnel,4.566733317741872
65,"Tanka 
",4.250520071925563
66,Vers libres. ,4.434314819919245
67,"Translation 
",4.529394110241963
68,Lipogramme,4.5068731367199995
69,Anglicisme,4.497790616953351
70,Prosthèses,4.560567138362335
71,Epenthèse,4.560093087283053
72,Paragoges,4.55739193691257
73,Parties du discours. ,4.561436104264455
74,Métathèses ,4.526727033484875
75,"Par devant par derrière. 
",4.519517552768262
76,Noms propres,4.510809819367821
77,Loucherbem,4.4896250216341995
78,Javanais,4.556277680441744
79,"Antonymique. 
",4.508827517371374
80,Macaronique ,4.552499521317862
81,"Homphonique 
",4.534000391480936
82,"Italianismes 
",4.530497061652548
83,Poor lay Zanglay ,4.5498908394801525
84,Contre-petteries,4.495133456998723
85,Botanique. ,4.5145309502380915
86,Médical. ,4.516304454277394
87,Injurieux. ,4.542467135636766
88,Gastronomique. ,4.5391027853614485
89,Zoologique. ,4.512744545876923
90,Impuissant. ,4.544127611419949
91,Modern style.,4.558777774939959
92,Probabiliste,4.562930440717989
93,Portrait. ,4.555294413245598
94,Géométrique ,4.519517539876716
95,Paysan ,4.574445560980011
96,Interjections.,4.348901867017561
97,Précieux. ,4.576546579863956
98,Inattendu. ,4.577889022314248
99,Contexte de la Recherche :,4.56563978046078
